wins,loss
12,19
8,7
76,99
8,4
9,7
7,7
5,12
8,3
88,78
15,10
3,7
17,24
20,35
11,13
10,12
34,32
7,6
6,6
13,9
4,15
17,13
4,6
19,19
9,6
23,31
34,25
13,9
10,7
10,8
4,10
6,7
10,6
15,16
11,23
18,20
35,21
6,5
5,11
86,85
9,10
15,33
34,83
14,12
6,8
15,17
7,10
10,17
28,36
11,5
24,11
66,54
19,26
95,100
34,38
10,9
5,5
33,55
19,12
17,45
8,16
14,11
12,12
13,18
22,24
6,5
7,3
7,12
8,8
8,11
9,7
12,17
8,2
17,14
53,69
40,40
4,9
6,9
16,16
11,11
10,21
11,4
29,35
5,5
13,13
18,18
30,43
5,10
29,36
16,20
11,6
11,5
41,62
7,11
9,13
5,5
6,9
8,11
56,64
5,9
32,40
14,8
7,5
11,13
17,9
20,14
17,13
17,12
12,15
28,27
8,5
6,9
23,28
46,52
5,10
23,19
15,14
55,61
12,15
41,45
25,30
3,8
32,35
37,20
10,10
22,22
20,29
13,13
39,68
37,55
4,9
42,31
19,18
6,9
4,6
19,25
4,14
7,5
8,13
4,10
24,29
3,16
5,5
10,8
18,37
4,8
8,6
10,10
17,21
58,54
17,22
39,53
10,6
6,5
31,34
7,7
9,9
20,14
11,7
4,12
4,6
31,28
17,28
57,53
4,7
6,7
9,11
4,12
32,41
21,16
4,7
8,10
8,16
25,20
6,7
13,13
5,7
2,8
13,11
5,7
40,42
10,8
15,7
15,15
25,32
7,8
14,18
52,38
44,43
25,38
10,20
28,16
4,7
6,8
34,46
3,9
3,7
14,18
6,7
7,11
68,87
4,8
16,13
57,74
31,39
26,26
8,6
7,12
6,7
36,49
9,16
16,14
31,28
19,32
29,17
12,18
6,10
5,12
14,8
4,12
41,45
3,7
25,39
11,11
10,8
43,17
10,18
98,92
30,32
28,27
5,6
17,32
7,13
24,24
36,50
108,110
11,9
6,6
17,19
18,13
3,10
53,64
13,18
5,6
11,12
26,25
11,7
10,13
9,14
5,6
6,4
5,11
9,9
5,6
34,25
7,4
33,38
40,19
10,10
31,42
19,11
32,36
4,6
43,46
25,27
15,21
4,8
47,34
15,8
24,24
5,6
6,12
8,8
31,46
26,24
20,18
20,22
16,22
3,8
3,16
9,22
20,14
24,18
11,16
7,13
18,27
10,9
10,7
19,17
22,46
48,41
21,37
16,18
7,4
28,15
7,7
5,5
15,14
20,20
10,10
6,6
17,18
10,5
13,14
9,17
51,64
13,13
2,8
6,16
29,24
6,4
14,18
10,12
11,11
11,13
40,45
5,5
29,35
13,11
7,18
9,9
63,52
36,53
6,9
13,18
6,4
14,14
8,10
5,6
9,8
12,10
9,5
5,5
9,2
16,8
10,10
15,19
18,23
28,30
49,69
38,57
8,10
18,21
1,9
14,10
9,9
35,23
17,31
12,17
63,51
9,19
11,16
12,9
24,29
12,17
12,12
2,8
6,4
10,13
6,4
24,21
12,16
16,9
10,8
15,22
11,18
19,20
13,18
13,21
13,8
32,29
10,12
6,10
4,6
10,23
7,7
6,4
6,5
6,4
12,24
6,9
9,7
24,48
35,44
10,5
12,21
53,58
8,13
16,20
21,44
51,47
12,15
7,10
7,6
5,7
12,9
24,33
13,16
23,23
10,10
12,23
7,5
38,32
4,13
22,17
73,78
20,29
37,46
24,29
9,5
28,37
28,41
9,4
6,10
12,15
6,13
29,45
2,8
28,22
7,9
12,12
6,9
5,6
53,57
14,18
12,12
17,13
4,6
19,19
9,6
23,31
31,36
8,9
2,9
8,13
8,6
22,17
9,3
5,6
35,24
10,17
8,10
2,8
5,14
26,43
5,8
8,6
7,11
6,12
11,1
9,14
20,19
44,47
9,12
5,6
10,4
21,12
9,21
7,14
14,8
19,31
37,39
7,10
6,9
26,27
52,55
24,33
13,10
11,6
15,16
9,8
38,27
37,44
23,14
6,6
15,22
12,9
20,26
10,21
9,19
11,20
52,45
4,7
2,10
31,39
22,22
15,14
16,22
4,9
2,10
23,24
6,11
10,12
4,6
28,33
6,9
8,13
31,25
15,22
18,13
2,35
47,46
8,14
17,17
6,9
33,29
5,10
9,13
22,15
11,12
7,7
7,6
11,1
2,9
5,8
4,6
33,28
20,19
6,9
17,16
28,27
12,20
24,21
9,22
3,7
14,9
15,10
22,17
30,30
8,4
56,72
3,9
5,6
8,6
9,15
21,32
26,27
6,8
10,12
6,10
7,4
98,87
5,6
8,3
4,6
38,56
10,8
17,25
9,6
14,12
14,12
60,59
24,32
5,27
10,13
8,8
6,4
5,5
5,7
33,5
16,12
10,16
14,20
11,13
10,3
22,17
7,8
12,2
6,5
8,15
8,5
26,25
4,9
18,16
43,49
6,4
28,41
7,8
11,6
9,4
16,16
15,20
10,11
71,86
27,31
4,8
5,5
4,6
78,78
10,5
31,15
6,6
16,11
22,26
29,36
5,7
12,14
13,10
5,14
29,19
11,19
32,34
7,15
13,14
8,5
10,6
61,55
6,4
80,70
11,14
20,21
44,47
6,8
16,17
9,10
4,9
22,18
58,65
5,8
16,13
4,6
7,9
21,34
12,14
8,10
6,4
14,7
52,49
21,24
20,20
6,11
10,18
98,92
30,32
28,27
5,6
11,11
18,33
48,51
13,12
14,12
4,8
15,13
9,5
9,12
7,3
40,40
49,54
7,4
7,9
31,31
10,20
5,5
63,54
3,7
28,34
9,5
5,6
9,10
57,56
9,11
6,7
74,90
10,11
10,7
5,5
7,3
28,38
5,5
29,23
20,18
20,22
4,7
9,8
62,67
5,5
92,119
17,21
25,21
6,9
7,5
10,9
13,15
10,3
87,103
52,46
56,54
6,5
11,12
7,13
19,22
18,29
11,7
4,13
5,6
9,16
7,9
11,19
16,10
9,10
1,12
5,5
8,2
80,82
6,7
50,45
7,4
48,41
3,8
5,6
39,64
2,11
17,18
12,24
29,22
59,72
24,15
7,3
6,7
3,9
7,7
8,18
1,9
5,5
13,9
34,34
5,6
13,20
42,62
11,18
7,6
30,30
8,5
17,16
34,49
126,133
23,27
48,65
31,14
7,3
9,8
15,10
65,55
4,10
3,15
8,9
54,55
7,6
69,84
8,5
14,23
9,13
32,39
7,8
10,16
8,7
10,8
11,9
15,12
7,19
7,6
10,12
6,8
19,22
6,4
49,53
11,6
3,10
9,14
5,6
6,12
22,32
11,7
24,43
5,6
5,10
4,6
4,6
10,11
7,9
6,4
14,14
12,9
10,17
7,6
47,46
14,21
17,16
16,13
33,43
19,22
5,6
25,29
4,6
10,8
13,12
45,60
5,5
20,23
25,34
52,62
32,42
6,4
36,38
35,30
8,5
11,2
29,26
9,11
118,107
42,34
11,16
9,16
12,17
44,48
25,29
8,7
13,10
28,36
7,5
21,19
16,21
11,13
19,21
7,8
7,10
7,7
19,24
16,10
6,10
3,7
6,5
33,40
18,30
15,27
7,13
31,36
8,9
2,9
8,13
8,6
8,6
5,12
6,8
5,14
22,30
6,7
5,6
9,8
6,6
25,27
7,7
8,5
