wins,loss
42,42
6,12
4,9
8,24
6,9
27,41
9,12
29,32
42,80
2,9
19,28
37,48
6,16
22,40
10,21
9,15
3,15
4,17
20,58
13,17
12,15
0,10
8,10
9,22
28,45
8,20
37,54
18,20
55,71
32,50
27,51
22,36
10,13
25,41
1,10
4,9
0,12
12,20
26,68
4,19
3,9
7,16
15,27
7,27
6,13
29,40
17,17
23,26
9,24
5,13
2,8
14,15
3,23
11,13
4,15
11,18
3,9
17,35
16,25
13,17
11,20
59,67
9,16
7,23
92,97
42,54
3,10
18,32
4,7
1,10
21,23
7,21
10,24
75,126
7,16
4,15
14,31
20,25
28,41
27,34
27,41
3,9
38,56
5,11
23,37
4,9
4,11
37,54
0,10
5,14
5,32
2,11
25,30
12,24
24,44
8,17
72,77
6,12
14,22
2,14
92,99
27,42
3,15
6,12
46,53
15,20
81,92
22,35
15,22
6,15
35,67
55,72
24,77
55,64
4,16
14,31
2,8
7,19
18,26
4,8
69,69
8,12
1,9
35,43
20,30
19,28
3,10
22,23
39,73
2,8
1,11
8,21
2,11
0,11
20,20
1,12
19,25
10,24
12,23
4,22
3,8
14,24
6,17
12,26
54,77
79,90
11,18
25,47
81,81
2,8
24,31
32,33
299,380
96,121
2,9
3,11
4,11
15,16
14,19
5,8
21,44
1,10
2,8
3,9
33,40
22,26
21,26
21,34
25,29
45,62
12,17
2,8
3,10
1,9
28,46
14,15
10,25
7,24
8,18
39,57
4,9
2,12
40,56
17,23
6,15
13,21
1,11
37,50
8,23
6,17
85,92
8,27
9,13
3,7
17,20
10,24
6,14
3,12
12,19
1,9
12,19
8,20
12,22
11,22
54,67
60,67
7,13
6,20
7,19
9,19
26,53
11,24
45,40
8,14
3,12
4,13
60,60
43,45
20,30
2,10
16,14
12,19
4,8
4,10
31,35
19,18
23,46
8,16
9,12
8,12
2,12
12,24
71,93
2,8
50,53
13,22
6,16
9,20
1,12
6,13
21,29
23,38
15,20
11,22
7,12
29,55
3,12
1,10
4,11
11,16
10,17
62,74
8,13
35,118
10,15
27,49
9,28
87,84
34,38
8,17
22,40
36,67
2,13
34,60
23,32
4,17
13,17
12,36
7,24
19,27
55,73
7,13
23,44
58,72
1,10
4,9
22,41
19,33
9,21
2,10
18,25
10,23
16,28
16,26
2,9
4,16
16,26
59,65
11,15
35,37
14,18
18,27
19,30
34,40
2,11
35,47
3,16
8,19
9,15
8,8
6,14
30,40
8,13
26,36
19,22
10,26
2,13
5,13
9,19
28,37
7,18
9,11
25,45
14,18
3,10
41,75
34,65
4,11
8,34
2,19
1,10
2,10
35,57
8,16
15,27
3,11
7,12
11,14
20,41
11,12
33,43
16,24
14,22
8,15
25,24
33,39
4,12
44,40
5,8
10,18
4,12
14,28
0,10
56,58
17,26
26,35
5,12
11,21
12,23
44,71
1,13
7,11
2,11
22,32
44,58
1,12
101,127
2,13
72,94
44,50
8,18
31,43
5,14
37,69
29,64
21,22
16,29
9,21
4,10
7,13
26,32
2,8
13,28
6,13
30,41
6,13
78,105
1,9
15,26
7,18
31,34
4,10
9,17
22,21
117,134
3,13
1,10
45,43
40,55
28,35
18,26
15,26
8,20
8,17
38,39
9,11
25,41
23,49
21,40
47,50
7,22
5,21
53,59
3,11
2,8
10,14
13,20
109,149
48,49
49,56
57,84
89,101
25,29
56,65
3,9
12,21
7,12
40,70
35,46
66,86
2,8
0,12
110,124
1,10
18,29
30,51
25,39
32,41
22,55
25,38
31,42
34,32
18,20
55,71
32,50
27,51
22,36
33,36
9,13
2,8
17,25
36,43
27,26
7,11
30,30
5,17
28,39
5,14
