wins,loss
57,43
72,66
43,42
101,93
59,47
44,54
68,65
58,46
69,45
37,38
32,34
51,57
57,59
26,13
37,47
57,52
36,31
63,67
111,94
109,53
37,28
61,41
43,35
41,34
54,46
111,109
48,38
73,56
64,71
40,40
44,55
38,26
43,40
94,106
27,31
42,35
21,30
66,70
75,53
52,46
53,66
27,28
65,63
57,59
90,65
53,37
83,81
46,34
166,145
28,22
58,67
98,88
79,49
32,44
31,20
58,64
101,94
66,57
47,38
77,66
91,105
41,37
130,143
32,41
68,57
54,59
183,155
119,103
85,79
40,20
53,49
39,30
92,82
166,164
70,67
68,57
36,31
48,36
38,31
44,33
114,125
31,27
43,44
78,67
55,51
57,74
97,81
47,32
77,69
46,60
36,19
33,41
22,14
43,26
45,48
49,40
70,62
20,26
81,76
142,135
45,42
57,59
113,103
66,65
41,40
66,66
110,98
131,130
164,166
48,44
25,20
99,89
87,91
71,62
30,17
20,10
39,37
138,123
25,14
34,17
29,24
53,41
36,30
83,72
32,26
44,31
101,100
35,15
41,42
45,37
57,53
100,78
100,73
47,38
72,64
95,86
58,49
32,29
181,167
169,192
38,28
39,28
48,49
32,28
83,58
46,53
80,60
54,43
67,62
41,39
87,72
116,94
26,32
25,19
43,42
45,52
49,59
59,38
87,78
88,60
132,120
70,84
34,31
141,108
253,232
44,42
71,61
80,57
75,65
98,99
30,20
50,46
39,35
73,80
41,36
133,126
50,31
31,33
135,151
96,76
43,42
38,39
52,53
135,131
146,133
33,32
72,85
30,23
119,98
72,69
158,148
60,64
75,79
34,25
58,65
92,82
58,45
37,22
73,58
33,11
67,55
39,13
69,55
62,60
133,137
34,26
31,27
21,17
38,23
107,102
105,67
43,45
60,42
53,47
28,27
28,24
75,56
252,240
76,80
84,84
98,58
52,51
34,35
51,55
131,119
53,59
64,57
41,26
234,190
38,45
88,101
114,105
38,34
73,72
92,78
35,30
50,53
29,23
73,71
28,31
56,46
116,74
49,41
44,41
52,44
55,54
51,55
32,37
67,72
40,23
32,22
20,11
81,83
39,32
42,30
46,36
97,94
38,26
64,82
108,73
25,17
10,4
108,94
34,24
70,87
27,25
52,59
56,51
22,19
33,28
63,35
64,49
31,30
46,38
10,7
122,115
39,32
7,9
67,68
42,41
57,66
95,83
4,7
84,73
101,75
70,67
47,39
31,47
44,41
59,46
34,50
40,30
49,38
47,37
99,73
47,51
62,67
63,70
26,33
46,49
100,101
57,63
44,33
62,49
46,45
51,57
26,28
65,56
146,88
67,64
56,62
38,43
86,82
32,31
85,64
67,69
88,74
27,23
61,51
56,41
63,46
59,59
27,27
76,78
25,28
86,87
60,62
72,68
155,131
37,35
56,50
49,43
68,67
147,95
32,32
46,50
